Subject,List,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
5,7,1621.9954648526077,4009.4104308390024,5770.000000000001,7865.941043083901,9745.895691609978,11530.839002267574,,,,,,,,,,,
6,0,1022.4716553287982,1909.251700680272,2581.179138321995,3265.714285714286,3935.260770975057,5551.678004535147,6900.022675736961,10158.095238095239,11533.038548752835,15140.544217687077,28738.934240362814,43705.96371882086,,,,,
6,1,1342.6303854875284,2037.9591836734696,2816.893424036281,3444.9886621315195,6507.34693877551,7426.326530612245,10488.412698412698,10999.160997732426,26343.854875283447,28027.66439909297,33589.20634920635,55250.725623582766,,,,,
6,2,1184.37641723356,2404.8072562358275,3583.1746031746034,4738.027210884355,6067.414965986394,7277.142857142858,8593.106575963719,9494.263038548754,10842.01814058957,17255.57823129252,40041.49659863945,42005.487528344675,55064.82993197279,,,,
6,3,1036.9160997732426,1632.108843537415,2899.795918367347,3676.485260770975,5693.560090702948,6866.643990929705,7871.746031746032,8769.342403628118,9801.972789115647,11053.990929705215,13224.399092970521,19167.233560090703,21933.42403628118,42806.75736961452,,,
6,4,2009.9092970521544,2869.3197278911566,3657.2335600907027,4525.374149659864,5779.115646258504,7038.1405895691605,8380.181405895693,9763.378684807256,11151.746031746032,14978.14058956916,16694.852607709752,25304.331065759638,30660.9977324263,48043.21995464853,,,
6,5,1345.7823129251701,2129.297052154195,2938.4807256235827,4103.605442176871,5173.718820861678,6053.922902494331,7671.156462585034,13547.50566893424,21093.560090702947,26563.537414965984,,,,,,,
6,6,1096.1904761904761,2077.2789115646256,2717.2108843537417,4100.997732426304,4933.5147392290255,6265.578231292518,7385.986394557824,8328.004535147393,9550.975056689342,10534.739229024943,11463.356009070296,12658.412698412698,,,,,
6,7,1021.9501133786848,1695.4875283446713,2610.589569160998,3225.1247165532877,4509.795918367347,5313.265306122449,5851.473922902494,7213.764172335601,8376.054421768707,10210.702947845804,16887.709750566893,18638.276643990932,,,,,
7,0,543.1972789115647,1990.2267573696147,2819.591836734694,3930.7256235827667,4780.045351473923,6230.226757369615,7233.106575963719,8411.768707482994,18045.351473922903,22872.83446712018,25317.91383219955,46784.08163265306,48049.20634920635,49243.968253968254,52313.42403628118,52776.553287981864,53885.71428571428
7,1,1006.575963718821,2005.170068027211,3264.172335600907,4573.60544217687,5659.387755102041,7264.965986394558,16021.292517006803,20171.70068027211,,,,,,,,,
7,2,1015.8276643990929,2033.3786848072561,3367.1655328798183,4899.841269841269,6591.609977324263,7772.857142857143,13472.49433106576,,,,,,,,,,
7,3,979.0702947845805,1933.3786848072564,2952.6530612244896,4135.895691609978,5117.120181405896,6594.85260770975,7544.195011337869,9831.315192743765,13239.818594104308,16139.614512471657,,,,,,,
7,4,859.2970521541951,1991.2244897959183,3055.5102040816328,3978.7528344671205,5444.897959183674,6527.8231292517,7752.222222222223,9320.226757369614,10498.934240362812,12161.655328798186,18452.99319727891,,,,,,
7,5,859.7052154195012,2164.467120181406,4555.442176870749,5708.458049886622,7309.7732426303855,8702.403628117914,10031.496598639456,12643.809523809525,14456.961451247165,15734.943310657596,16930.544217687075,19010.52154195011,26477.233560090703,,,,
7,6,1057.8684807256236,2275.736961451247,6384.104308390022,7600.385487528345,11124.98866213152,12235.170068027212,14335.510204081633,18523.219954648524,,,,,,,,,
7,7,1312.5850340136053,2115.46485260771,3615.7596371882087,4755.827664399093,5750.158730158731,7176.825396825397,9334.875283446712,10413.401360544218,,,,,,,,,
8,0,1011.156462585034,3136.0544217687075,4831.995464852608,6940.884353741497,8723.696145124715,10576.349206349207,13177.142857142859,14978.185941043084,17087.800453514737,19113.786848072563,27430.725623582766,41280.793650793654,52927.68707482993,,,,
8,1,972.2675736961452,2985.011337868481,4632.630385487529,6319.0022675736955,8274.739229024943,10182.49433106576,12029.546485260771,13881.882086167801,15514.240362811792,17180.657596371882,19208.480725623584,20742.15419501134,22167.278911564626,39741.11111111111,46547.68707482993,51545.66893424036,
8,2,1039.7732426303855,2957.9138321995465,4997.845804988662,7029.115646258504,10741.315192743765,12752.879818594105,20276.73469387755,22116.666666666668,31431.2925170068,,,,,,,,
8,3,1269.1156462585034,2697.5056689342405,5470.680272108843,7865.578231292517,9420.045351473924,11245.011337868482,14082.403628117914,16575.646258503402,19236.122448979593,,,,,,,,
8,4,1149.2063492063492,2698.095238095238,4121.201814058957,6210.136054421769,7941.405895691611,9702.585034013606,22204.0589569161,24458.526077097507,37878.639455782315,,,,,,,,
8,5,1158.0045351473923,2690.3628117913836,4073.7414965986395,6963.265306122449,8455.78231292517,9766.349206349207,12167.845804988663,13795.532879818595,15629.501133786847,17676.145124716557,20792.33560090703,22676.73469387755,24345.57823129252,26385.9410430839,45436.30385487528,,
8,6,1151.4739229024945,3061.496598639456,4906.848072562358,7105.374149659864,9088.616780045351,12438.684807256235,17738.7074829932,20139.50113378685,22362.789115646257,24590.340136054423,26282.83446712018,28718.25396825397,30925.736961451246,,,,
8,7,1378.095238095238,3460.6349206349205,5585.46485260771,7665.14739229025,9785.14739229025,11649.546485260771,13548.458049886622,15596.371882086169,18586.07709750567,20333.42403628118,22033.333333333336,,,,,,
9,0,998.6167800453514,2070.861678004535,3428.1632653061224,4532.585034013606,6374.3764172335605,9792.857142857143,15196.439909297053,16354.444444444443,22623.968253968254,,,,,,,,
9,1,1506.7120181405896,2603.718820861678,3966.1451247165537,5359.20634920635,6604.399092970521,9617.732426303855,10948.253968253968,12253.28798185941,14036.326530612245,24716.643990929704,,,,,,,
9,2,1539.501133786848,2322.5850340136053,3284.0136054421773,4352.721088435374,7080.997732426304,7927.02947845805,9113.968253968254,10296.621315192744,12916.780045351476,26558.57142857143,,,,,,,
9,3,1288.7755102040817,2035.0566893424036,2963.718820861678,4050.9297052154193,5094.988662131519,6435.011337868481,9404.172335600908,10464.625850340137,12528.798185941045,,,,,,,,
9,4,2011.4739229024945,5554.603174603175,7838.9795918367345,8793.718820861677,11041.201814058957,12672.1768707483,23039.97732426304,39582.01814058957,,,,,,,,,
9,5,1619.4557823129253,2889.1609977324265,4233.219954648526,13254.263038548754,14117.551020408162,16903.718820861675,20224.444444444445,22061.11111111111,26601.40589569161,33776.32653061225,37392.811791383225,41076.39455782313,44189.297052154194,,,,
9,6,1410.748299319728,2595.555555555555,3607.7097505668935,4812.176870748299,7992.925170068028,12296.621315192744,13683.560090702947,,,,,,,,,,
9,7,804.013605442177,1647.641723356009,2731.746031746032,13545.6462585034,23687.482993197278,36951.47392290249,,,,,,,,,,,
10,0,622.5850340136054,1584.5578231292516,2743.151927437642,3760.839002267574,5333.5374149659865,6350.566893424037,7703.628117913832,9268.208616780044,10769.52380952381,23220.680272108842,24972.063492063495,,,,,,
10,1,1289.2517006802723,2379.546485260771,3555.374149659864,4615.510204081633,5705.283446712018,12685.102040816328,15091.700680272108,36499.183673469386,,,,,,,,,
10,2,1036.0997732426304,2936.031746031746,4527.097505668935,6649.115646258504,8577.369614512472,12207.210884353743,13759.546485260771,15223.877551020409,16639.02494331066,17883.90022675737,21396.689342403628,29447.755102040817,57707.93650793651,,,,
10,3,1355.3061224489795,3637.5510204081634,5718.367346938775,9671.201814058957,12705.759637188208,15397.414965986394,17264.852607709752,19459.50113378685,26178.185941043088,36532.31292517007,,,,,,,
10,4,1380.1133786848072,2902.2222222222226,5236.303854875284,6830.090702947846,8515.736961451248,10049.954648526076,14154.761904761905,26556.507936507936,34708.59410430839,38042.857142857145,,,,,,,
10,5,984.6485260770975,2030.9523809523807,3421.5646258503402,4609.727891156463,6815.374149659864,8304.580498866213,10430.408163265307,13983.514739229026,34627.052154195015,,,,,,,,
10,6,940.7709750566894,2477.120181405896,5109.7959183673465,6841.473922902494,8632.131519274375,14582.721088435374,18018.843537414967,21798.684807256235,27087.709750566893,34052.244897959186,,,,,,,
10,7,1431.655328798186,2582.9478458049884,3330.2494331065764,6452.993197278912,7530.249433106575,12231.655328798186,13774.421768707483,15816.507936507938,16924.331065759638,34600.49886621315,,,,,,,
